iter	RMSE
0	0.9942400227
1	0.9523080558
2	0.9135318698
3	0.8809202036
4	0.84889477
5	0.8234145704
6	0.8021353312
7	0.7805993841
8	0.7607218838
9	0.7429812232
10	0.7290386731
11	0.7169330262
12	0.7055792496
13	0.693560658
14	0.6832692688
15	0.6745361827
16	0.6667423162
17	0.660534551
18	0.6545828808
19	0.6491039526
20	0.643515555
21	0.6390966877
22	0.6352014105
23	0.6291079075
24	0.6240790748
25	0.6206902418
26	0.6162711867
27	0.6130147658
28	0.6097317649
29	0.6064165574
30	0.6037608653
31	0.6006343596
32	0.5980406929
33	0.5955933037
34	0.5930620409
35	0.5909038939
36	0.5887181423
37	0.5861464355
38	0.5830606095
39	0.5803498454
40	0.5787555752
41	0.5772417279
42	0.5754402125
43	0.5732742163
44	0.5713042286
45	0.5693225167
46	0.5679250663
47	0.5659460243
48	0.5641580982
49	0.5621336343
50	0.5602408527
51	0.5585974967
52	0.5570044575
53	0.5559827182
54	0.5533643747
55	0.5521891264
56	0.5497496238
57	0.5477706297
58	0.5460587459
59	0.54438454
60	0.5430329258
61	0.5411832847
62	0.5399823772
63	0.5380690525
64	0.5371247625
65	0.5354629143
66	0.5346442733
67	0.5330956814
68	0.5314662251
69	0.5310200357
70	0.5293366246
71	0.5269806858
72	0.5252920086
73	0.5236326981
74	0.5220975526
75	0.5191936243
76	0.5189806158
77	0.5167545361
78	0.5149276642
79	0.5139440466
80	0.5125475063
81	0.5107847092
82	0.5093405694
83	0.5088940977
84	0.5065561239
85	0.5050631066
86	0.5023885025
87	0.5003083856
88	0.4993130443
89	0.4991039354
90	0.4975657331
91	0.4973194026
92	0.4962563753
93	0.4948955087
94	0.4923260007
95	0.4905638173
96	0.4902267274
97	0.4878905598
98	0.4854632003
99	0.4840798352
