iter	Passed	Remaining
0	8	876
1	18	900
2	26	870
3	37	897
4	49	943
5	66	1042
6	86	1152
7	105	1210
8	116	1176
9	125	1128
10	135	1093
11	144	1058
12	153	1028
13	163	1004
14	172	978
15	182	958
16	192	937
17	202	921
18	212	904
19	222	888
20	232	873
21	243	862
22	253	849
23	264	837
24	274	822
25	283	807
26	296	800
27	312	803
28	333	815
29	346	807
30	356	793
31	365	776
32	374	760
33	384	745
34	393	730
35	402	715
36	411	701
37	421	687
38	431	674
39	440	661
40	449	647
41	459	633
42	468	620
43	478	608
44	488	596
45	499	586
46	510	575
47	519	562
48	529	551
49	538	538
50	549	528
51	560	517
52	571	506
53	581	495
54	592	485
55	606	476
56	625	471
57	643	466
58	654	454
59	663	442
60	672	430
61	682	418
62	691	406
63	699	393
64	708	381
65	717	369
66	727	358
67	736	346
68	745	334
69	754	323
70	763	311
71	772	300
72	781	289
73	791	277
74	800	266
75	818	258
76	835	249
77	848	239
78	857	228
79	868	217
80	878	206
81	888	195
82	898	184
83	908	172
84	917	161
85	926	150
86	936	139
87	945	128
88	953	117
89	961	106
90	970	95
91	978	85
92	987	74
93	995	63
94	1004	52
95	1012	42
96	1021	31
97	1029	21
98	1038	10
99	1047	0
