iter	RMSE
0	0.9954295048
1	0.9533879687
2	0.9171497967
3	0.8820294629
4	0.8555945025
5	0.8317861905
6	0.8094931287
7	0.7888999173
8	0.77254008
9	0.7577904536
10	0.7431887276
11	0.7315441938
12	0.7199085604
13	0.7100201803
14	0.6999169504
15	0.6914624972
16	0.6837892667
17	0.675777021
18	0.6688652194
19	0.6628876959
20	0.6561413838
21	0.6506996989
22	0.6456071707
23	0.6426565139
24	0.6392604575
25	0.6359841042
26	0.6330908258
27	0.6301185711
28	0.6275479432
29	0.6247437952
30	0.62150284
31	0.6176892039
32	0.6149961973
33	0.6138046668
34	0.6107384922
35	0.6081071365
36	0.6063238584
37	0.6050095674
38	0.6031654036
39	0.6013026693
40	0.5996915177
41	0.5982771136
42	0.5966646555
43	0.5953956124
44	0.5940908487
45	0.5926118746
46	0.5913156751
47	0.5889756575
48	0.5872570748
49	0.585950538
50	0.583516379
51	0.5824005137
52	0.5802987714
53	0.5792561139
54	0.5784719194
55	0.5772188023
56	0.5760399328
57	0.5757742787
58	0.5747106005
59	0.573237011
60	0.5716898381
61	0.5704558802
62	0.5692584024
63	0.5682373007
64	0.5666754986
65	0.5659936501
66	0.5649123597
67	0.5641802819
68	0.5627132738
69	0.5616627753
70	0.5608572348
71	0.5599862258
72	0.5591074798
73	0.5571562533
74	0.5552540915
75	0.5550420629
76	0.5538916434
77	0.5521698692
78	0.5508816911
79	0.5497640465
80	0.5489466437
81	0.5478636288
82	0.5476663562
83	0.5465116979
84	0.5452789049
85	0.5440910042
86	0.5428168576
87	0.5424471757
88	0.5407036927
89	0.5397298922
90	0.539546504
91	0.5393837103
92	0.5380020761
93	0.5370272258
94	0.5343496717
95	0.5328162931
96	0.5323401582
97	0.530454896
98	0.5281352919
99	0.5277125438
