iter	Passed	Remaining
0	9	931
1	17	871
2	26	865
3	34	834
4	43	820
5	53	834
6	61	814
7	69	794
8	77	782
9	86	774
10	94	763
11	102	752
12	110	741
13	118	726
14	128	728
15	137	723
16	146	715
17	155	708
18	163	696
19	171	687
20	180	679
21	188	669
22	198	664
23	207	656
24	215	646
25	224	637
26	231	626
27	241	620
28	251	616
29	259	606
30	269	599
31	284	604
32	293	596
33	302	587
34	313	581
35	321	571
36	331	563
37	341	557
38	349	546
39	357	535
40	365	526
41	373	515
42	382	506
43	391	498
44	400	489
45	409	481
46	419	473
47	427	463
48	437	455
49	449	449
50	459	441
51	468	432
52	478	424
53	488	416
54	497	407
55	508	399
56	516	389
57	524	379
58	533	370
59	541	360
60	550	352
61	558	342
62	567	333
63	578	325
64	586	315
65	594	306
66	603	297
67	612	288
68	620	278
69	629	269
70	638	260
71	648	252
72	658	243
73	668	234
74	679	226
75	688	217
76	697	208
77	707	199
78	716	190
79	725	181
80	735	172
81	743	163
82	751	153
83	761	144
84	768	135
85	776	126
86	785	117
87	793	108
88	801	99
89	809	89
90	817	80
91	825	71
92	835	62
93	845	53
94	853	44
95	861	35
96	869	26
97	877	17
98	886	8
99	898	0
